SKU,Local,Forecast sumarizado
559397,00005,56.0
559398,00005,104.0
559402,00005,56.0
560039,00005,192.0
56069,00005,82.0
561099,00005,113.0
561101,00005,154.0
561448,00005,107.0
561670,00005,251.0
562044,00005,208.0
562562,00005,1913.0
562893,00005,88.0
562947,00005,264.0
563180,00005,113.0
563181,00005,76.0
563191,00005,71.0
563203,00005,354.0
563204,00005,340.0
563221,00005,292.0
563657,00005,104.0
564465,00005,176.0
564466,00005,175.0
565186,00005,112.0
565854,00005,2888.0
565855,00005,312.0
565904,00005,129.0
566249,00005,56.0
566250,00005,76.0
566325,00005,2180.0
567255,00005,321.0
567303,00005,120.0
567764,00005,384.0
567765,00005,232.0
567901,00005,876.0
568326,00005,116.0
568330,00005,136.0
568332,00005,96.0
568333,00005,56.0
568334,00005,104.0
568341,00005,66.0
568342,00005,869.0
568629,00005,132.0
569701,00005,4710.0
570089,00005,56.0
570296,00005,64.0
570564,00005,95.0
570729,00005,356.0
571452,00005,56.0
571453,00005,64.0
571455,00005,592.0
571469,00005,290.0
571555,00005,64.0
571559,00005,111.0
571719,00005,69.0
571720,00005,270.0
574903,00005,64.0
574979,00005,88.0
575103,00005,88.0
575104,00005,170.0
575726,00005,168.0
575731,00005,128.0
576205,00005,97.0
576207,00005,362.0
576692,00005,56.0
577406,00005,112.0
578219,00005,336.0
578220,00005,872.0
578305,00005,132.0
578410,00005,329.0
578411,00005,172.0
578412,00005,180.0
578679,00005,58.0
578769,00005,61.0
578813,00005,3955.0
578865,00005,136.0
578866,00005,121.0
579039,00005,207.0
579040,00005,189.0
579041,00005,185.0
579042,00005,165.0
579077,00005,70.0
57951,00005,353.0
57956,00005,444.0
579653,00005,195.0
579972,00005,188.0
580803,00005,1515.0
581143,00005,1715.0
58178,00005,56.0
582288,00005,56.0
582289,00005,97.0
582341,00005,3384.0
582615,00005,478.0
582620,00005,172.0
582677,00005,120.0
582682,00005,79.0
582945,00005,5108.0
582946,00005,351.0
582947,00005,4569.0
582948,00005,5148.0
582949,00005,812.0
583122,00005,56.0
583271,00005,1881.0
583272,00005,247.0
583316,00005,112.0
584926,00005,56.0
584976,00005,84.0
585262,00005,112.0
585347,00005,56.0
586104,00005,643.0
587044,00005,56.0
587045,00005,88.0
587121,00005,108.0
587130,00005,6716.0
587381,00005,112.0
587382,00005,104.0
587383,00005,56.0
587385,00005,56.0
587386,00005,64.0
587397,00005,96.0
587398,00005,239.0
587762,00005,129.0
587764,00005,56.0
587765,00005,56.0
588768,00005,210.0
588769,00005,112.0
588829,00005,438.0
589254,00005,56.0
589273,00005,56.0
589274,00005,56.0
589418,00005,72.0
5897,00005,638.0
5898,00005,760.0
590005,00005,111.0
590177,00005,136.0
590178,00005,136.0
590253,00005,1120.0
590255,00005,441.0
590457,00005,96.0
590798,00005,80.0
590799,00005,289.0
591060,00005,56.0
592599,00005,56.0
593461,00005,432.0
593462,00005,112.0
593463,00005,104.0
593464,00005,520.0
593465,00005,400.0
593466,00005,120.0
593548,00005,112.0
594486,00005,464.0
594761,00005,56.0
594762,00005,64.0
595500,00005,264.0
595672,00005,160.0
595815,00005,152.0
598285,00005,544.0
598286,00005,112.0
598287,00005,192.0
598288,00005,160.0
598547,00005,17208.0
599369,00005,816.0
599393,00005,544.0
599394,00005,192.0
599395,00005,144.0
600096,00005,136.0
600291,00005,208.0
600984,00005,120.0
601127,00005,128.0
6071,00005,56.0
61735,00005,340.0
6232,00005,124.0
6259,00005,64.0
6262,00005,60.0
63009,00005,6058.0
63861,00005,196.0
63862,00005,104.0
6394,00005,80.0
64104,00005,236.0
6431,00005,65.0
651,00005,389.0
65576,00005,1023.0
65724,00005,249.0
6720,00005,107.0
67216,00005,485.0
67225,00005,4574.0
68618,00005,278.0
68786,00005,112.0
68909,00005,778.0
69183,00005,120.0
71765,00005,10910.0
71770,00005,586.0
71773,00005,225.0
71799,00005,64.0
71800,00005,112.0
73022,00005,112.0
73144,00005,56.0
7388,00005,203.0
7390,00005,264.0
7502,00005,56.0
75862,00005,69.0
75952,00005,144.0
77153,00005,112.0
77213,00005,110.0
77215,00005,112.0
77731,00005,64.0
78005,00005,774.0
78864,00005,128.0
78865,00005,139.0
79223,00005,56.0
79448,00005,268.0
79559,00005,297.0
80510,00005,3371.0
80703,00005,150.0
81135,00005,128.0
81136,00005,167.0
8119,00005,165.0
81199,00005,225.0
8135,00005,421.0
81991,00005,64.0
81992,00005,56.0
82411,00005,1124.0
83137,00005,142.0
83309,00005,103.0
85416,00005,120.0
85436,00005,123.0
8576,00005,834.0
85808,00005,56.0
86884,00005,160.0
86886,00005,169.0
86911,00005,112.0
86913,00005,91.0
86914,00005,112.0
87012,00005,160.0
8737,00005,82.0
88,00005,111.0
88567,00005,165.0
88572,00005,136.0
8870,00005,110.0
8871,00005,159.0
89179,00005,112.0
89975,00005,215.0
90052,00005,5951.0
90421,00005,80.0
90447,00005,378.0
90646,00005,141.0
92047,00005,112.0
92912,00005,56.0
92913,00005,56.0
94600,00005,176.0
94601,00005,140.0
94602,00005,224.0
9470,00005,60.0
94931,00005,176.0
94963,00005,615.0
95731,00005,56.0
95732,00005,96.0
95912,00005,56.0
95918,00005,69.0
96377,00005,351.0
96726,00005,137.0
96728,00005,202.0
96729,00005,313.0
96731,00005,108.0
96741,00005,112.0
96909,00005,123.0
96910,00005,56.0
97558,00005,56.0
98865,00005,56.0
98866,00005,91.0
98869,00005,108.0
99008,00005,168.0
99039,00005,2187.0
9935,00005,56.0
99369,00005,70.0
99775,00005,1569.0
9995,00005,56.0
10011,00006,56.0
10019,00006,642.0
10091,00006,893.0
